  t (Gyr) =   0.0005
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.300  3363.   -1.23  4.20  0.719    0.979   5.97   5.33   5.09  
 0.400  3508.   -1.05  4.22  0.811    0.663   5.59   4.90   4.68  
 0.500  3651.   -0.91  4.24  0.887    0.024   5.28   4.56   4.35  
 0.600  3781.   -0.79  4.26  0.950    0.020   5.03   4.29   4.10  
 0.700  3908.   -0.67  4.27  1.013    0.036   4.79   4.04   3.86  
 0.800  4041.   -0.57  4.28  1.073    0.086   4.56   3.82   3.65  
 0.900  4191.   -0.46  4.29  1.129    0.191   4.33   3.61   3.46  
 1.000  4363.   -0.34  4.28  1.198    0.383   4.08   3.40   3.27  
 1.100  4553.   -0.21  4.27  1.269    0.597   3.82   3.20   3.08  
 1.200  4768.   -0.07  4.25  1.358    0.774   3.53   2.98   2.88  
 1.300  5038.    0.09  4.22  1.470    0.880   3.20   2.73   2.63  
 1.400  5363.    0.29  4.16  1.637    0.938   2.80   2.40   2.32  



  t (Gyr) =   0.0150
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.015  2237.   -3.11  4.07  0.187    1.000  10.37   9.76   9.34  
 0.020  2495.   -2.74  4.01  0.231    1.000   9.46   8.91   8.53  
 0.030  2614.   -2.69  4.22  0.224    1.000   9.34   8.80   8.45  
 0.040  2721.   -2.55  4.27  0.242    1.000   9.02   8.46   8.14  
 0.050  2827.   -2.41  4.30  0.263    1.000   8.71   8.16   7.85  
 0.060  2892.   -2.30  4.31  0.284    1.000   8.47   7.91   7.62  
 0.070  2943.   -2.21  4.31  0.305    1.000   8.26   7.70   7.41  
 0.072  2952.   -2.19  4.31  0.309    1.000   8.22   7.66   7.37  
 0.075  2965.   -2.17  4.32  0.315    1.000   8.16   7.60   7.32  
 0.080  2986.   -2.13  4.31  0.326    1.000   8.06   7.49   7.21  
 0.090  3023.   -2.06  4.32  0.344    1.000   7.90   7.33   7.06  
 0.100  3056.   -2.01  4.33  0.358    1.000   7.79   7.21   6.94  
 0.200  3252.   -1.59  4.32  0.512    0.985   6.82   6.20   5.95  
 0.300  3374.   -1.34  4.32  0.628    0.594   6.26   5.62   5.38  
 0.400  3498.   -1.17  4.33  0.712    0.000   5.88   5.21   4.98  
 0.500  3621.   -1.03  4.35  0.780    0.000   5.58   4.89   4.67  
 0.600  3748.   -0.91  4.37  0.841    0.001   5.31   4.60   4.40  
 0.700  3891.   -0.78  4.37  0.902    0.003   5.05   4.32   4.14  
 0.800  4054.   -0.65  4.37  0.962    0.021   4.78   4.05   3.89  
 0.900  4263.   -0.51  4.37  1.028    0.111   4.48   3.78   3.64  
