
  t (Gyr) =   0.0005
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
 0.060  2892.   -2.30  4.31  0.284    1.000  14.03  12.40  10.34   8.43   7.93   7.61   7.33   7.12   7.22
 0.070  2943.   -2.21  4.31  0.305    1.000  13.62  12.07  10.05   8.22   7.71   7.40   7.13   6.93   7.03
 0.072  2952.   -2.19  4.31  0.309    1.000  13.55  12.01  10.00   8.18   7.67   7.36   7.10   6.89   6.99
 0.075  2965.   -2.17  4.32  0.315    1.000  13.45  11.93   9.93   8.12   7.62   7.31   7.05   6.85   6.94
 0.080  2986.   -2.13  4.31  0.326    1.000  13.27  11.78   9.80   8.02   7.51   7.21   6.95   6.75   6.85
 0.090  3023.   -2.06  4.32  0.344    1.000  12.95  11.52   9.59   7.86   7.35   7.05   6.80   6.61   6.70
 0.100  3056.   -2.01  4.33  0.358    1.000  12.68  11.30   9.42   7.75   7.22   6.93   6.69   6.51   6.59
 0.200  3252.   -1.59  4.32  0.512    0.985  11.05   9.90   8.23   6.77   6.21   5.95   5.76   5.60   5.67
 0.300  3374.   -1.34  4.32  0.628    0.594  10.17   9.11   7.57   6.21   5.62   5.39   5.21   5.07   5.15
 0.400  3498.   -1.17  4.33  0.712    0.000   9.47   8.50   7.10   5.83   5.22   5.00   4.84   4.72   4.80
 0.500  3621.   -1.03  4.35  0.780    0.000   8.88   7.98   6.72   5.53   4.89   4.69   4.54   4.45   4.54
 0.600  3748.   -0.91  4.37  0.841    0.001   8.34   7.50   6.38   5.26   4.61   4.42   4.30   4.22   4.33
 0.700  3891.   -0.78  4.37  0.902    0.003   7.81   7.02   6.05   5.00   4.32   4.16   4.06   4.01   4.12
 0.800  4054.   -0.65  4.37  0.962    0.021   7.32   6.54   5.71   4.72   4.05   3.91   3.83   3.80   3.92
 0.900  4263.   -0.51  4.37  1.028    0.111   6.76   6.00   5.34   4.42   3.78   3.67   3.60   3.59   3.71
 1.000  4530.   -0.35  4.35  1.100    0.318   6.11   5.44   4.90   4.09   3.52   3.43   3.37   3.36   3.47
 1.100  4850.   -0.15  4.32  1.198    0.576   5.43   4.87   4.40   3.71   3.22   3.15   3.11   3.10   3.18
 1.200  5264.    0.09  4.26  1.342    0.770   4.67   4.20   3.81   3.24   2.85   2.79   2.76   2.76   2.82
 1.300  5754.    0.40  4.14  1.606    0.880   3.79   3.41   3.08   2.63   2.33   2.29   2.27   2.26   2.30
 1.400  6422.    0.70  4.06  1.818    0.938   2.97   2.68   2.43   2.11   1.91   1.88   1.87   1.87   1.87



  t (Gyr) =   0.0200
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
 0.015  2209.   -3.15  4.09  0.182    1.000  19.45  16.59  14.03  10.47   9.92   9.44   8.98   8.66   8.99
 0.020  2411.   -2.92  4.14  0.200    1.000  17.93  15.32  12.83   9.87   9.38   8.95   8.56   8.27   8.53
 0.030  2555.   -2.84  4.33  0.196    1.000  17.05  14.66  12.26   9.68   9.19   8.80   8.45   8.19   8.40
 0.040  2681.   -2.68  4.38  0.215    1.000  15.80  13.78  11.52   9.28   8.79   8.43   8.10   7.87   8.02
 0.050  2811.   -2.52  4.40  0.235    1.000  14.97  13.06  10.95   8.94   8.45   8.11   7.80   7.59   7.71
 0.060  2883.   -2.41  4.41  0.253    1.000  14.33  12.66  10.60   8.69   8.19   7.87   7.58   7.37   7.48
 0.070  2940.   -2.31  4.41  0.273    1.000  13.86  12.31  10.29   8.47   7.96   7.65   7.37   7.17   7.27
 0.072  2950.   -2.29  4.41  0.277    1.000  13.78  12.25  10.24   8.42   7.92   7.61   7.34   7.14   7.24
 0.075  2964.   -2.27  4.41  0.282    1.000  13.67  12.16  10.16   8.37   7.86   7.55   7.29   7.09   7.19
 0.080  2986.   -2.22  4.41  0.292    1.000  13.49  12.01  10.03   8.26   7.75   7.45   7.19   6.99   7.09
 0.090  3025.   -2.15  4.41  0.308    1.000  13.16  11.74   9.81   8.10   7.59   7.29   7.04   6.85   6.94
 0.100  3059.   -2.10  4.42  0.322    1.000  12.86  11.50   9.63   7.97   7.45   7.16   6.92   6.73   6.82
 0.200  3263.   -1.67  4.41  0.464    0.852  11.19  10.06   8.42   6.98   6.42   6.16   5.96   5.80   5.88
 0.300  3392.   -1.42  4.40  0.569    0.006  10.28   9.24   7.75   6.41   5.82   5.59   5.41   5.27   5.35
 0.400  3500.   -1.25  4.42  0.648    0.000   9.65   8.68   7.30   6.04   5.43   5.21   5.05   4.93   5.01
 0.500  3609.   -1.11  4.43  0.716    0.000   9.08   8.17   6.91   5.73   5.10   4.89   4.74   4.65   4.73
 0.600  3733.   -0.98  4.43  0.777    0.000   8.54   7.69   6.56   5.44   4.80   4.61   4.48   4.40   4.50
 0.700  3894.   -0.85  4.44  0.836    0.000   7.96   7.17   6.21   5.16   4.50   4.33   4.22   4.17   4.28
 0.800  4102.   -0.69  4.43  0.902    0.009   7.39   6.58   5.79   4.82   4.16   4.03   3.95   3.92   4.04
 0.900  4406.   -0.50  4.42  0.973    0.089   6.60   5.88   5.30   4.44   3.83   3.73   3.67   3.66   3.78
 1.000  4793.   -0.28  4.38  1.066    0.308   5.77   5.18   4.71   3.99   3.50   3.42   3.37   3.37   3.45
